It was easy for me to log-in and log-out my account because I don't encounter any problem so far.,It was really disappointing because the mobile app of canvas that was installed in my phone don't direct the site of my school immediately. There's also a lot of features that I can't do using my phone.,There's no problem so far in accessing my canvas account using jru computers.,It's fine most of the time but sometimes during examination the connectivity to the internet was so slow.,The SA inside the open laboratory are approachable.,I can open my account using a browser in my phone.,Modules help me to have a deeper understanding towards the topic,The modules are well organize so I can easily see the modules per term,It was more conveninent whenever I use desktop version,Mobile app was so disappointing.,The questionare in our quizzes contains the lessons that was discuss in the module,I also use it as a reviewer ,I dont like the module that contains a lot of texts because sometimes I am irritated reading and reading long texts.,It help me because I use it as a reviwer,She knows the topic that was being discuss but sometimes she can't give a better example that a student can understand,She knows the subject matter really well,I have no choice because the subject was blended learning,I can reach my teacher and classmates easily,With the help of modules,Everything was discuss in the modules,The deadlines was ok.
I can easily access log-in and log-out my account anytime and anywhere,I can access it wherever I am.,I can  access it through the openlab  that is availabe ,I can easily access it using wired internet connection,I can go to 211 for the help,I can pass my assignment everywhere,I can search anything on google,I can easily find it easily,I can easily access it,Sometimes the mobile app are not working,"We can  easily understand the lesson, by reading it inadvance",We can have a advance reading before the face to face lesson,It really help me to enjoy my college life,I can study in advance,Some of my instructor are not really know how to use canvas so if we need to pass some requirements online they always wanted some hard copy of it because they are not comfortable using it especially the elder teachers,they teach us very well,we need to take a quiz and make assignment in canvas so it really encourage me to use it .,In communicating with my instructor they are not replying on canvas.,I can easily access it,All that we need to answer its all in canvas very minimal paper works that we answer face to face,"They open the quizzes etc, a head of time"
"Yes, it's easy but the connection is the problem","Yes, i am able to","Yes, I can access my canvas in the computers but sometimes the computers are not available","Yes, because it's good","Yes, because the IT office always do something about it",yes because it is online,"Yes, because it's precise","yes, because it is all displayed with big icons",yes because it is much more easy,no because sometimes my canvas doesn't let me log in,yes it does,yes because i can study everywhere i want as long as there's a internet connection,"yes sometimes, when there's too much activities",The course materials on Canvas helped me prepare those kind of things,"yes, but there are some instructors/prof that doesn't use canvas","yes, my instructor demonstrated mastery of the subject matter","yes, but because i need to because the activities are posted there","yes it does, but I don't usually communicate there with my prof.",yes but only if there's a internet connection,"yes, I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.","yes, because there's a time limit"
I still don't encounter any problems in terms of log in and log out.,The canvas app is easy to download and easy to use.,All of the computers have stable internet connection that['s why I can use canvas.,The internet connection in computer laboratories are quite slow that's why sometimes it is hard to access canvas or it takes long time in opening canvas,the ITBL are always available if I have problem with canvas.,Since I have canvas application in my phone I can access it easily.,the powerpoints and lessons in canvas are pleasing to the eyes and easy to understand,all the modules are organized per term that's why it is easy to identify the lessons that we need to study,Using the desktop version of canvas are easy to manage or easy to use.,I am more comfortable in using canvas through mobile application.,Every lecture day all of the lessons that are taught are available in canvas,Since I am a visual learner it is better for me to have the course materials in canvas,canvas course materials are interesting because there are videos and powerpoint available for us to understand,All of the lessons that are needed in major exams are available in canvas,Our professor knows how to access canvas,My professor knows well about the subject matter by giving alternative explanations,My professor always reminds us to check our canvas every time we meet,It is easy to communicate with my professor and classmates using canvas,When there is quiz or exam canvas will notify me in my email account so that I will be reminded to answer it,All of the lessons that cover up our examinations are available in canvas,When there is a activity it is open for 1 week and that is enough time for me to finish it
i dont have any hassle problem to log in and log out ,it good that i can access my course using my phone,everytime there`s have a available computer so there is no any problem,sometimes it's good but sometimes no,i did not encountered any problem in my canvas so still its good,good that even if you are not inside of the campus you still can access to your canvas,if i have any question im just going to my canvas modules then the aswer is already on that.,it was look good because you dont have any problem to find your work ,it was better because it easly to see using desktop version,"yes i can easily access using mobile phone, and it is good that even if you dont have laptop or desktop you still can access",it is nice because the students can do the advance learning,if i have a another question i can easily look to my modules ,"sometimes yes, sometimes no. still depend on the person what he/she interested","it is easy to used if i have a dout to my pass lecture , so next time i already know the right answer",she/he very know i can see that during lecture day,yes she can she is a good speaker,yes all of my teacher ,using canvas my instructor can update us every time anytime anywhere,yes because it is already posted,yes it is aligned when you log in to your canvas,it is because there's have a dead line
I strongly agree because i can easily access my account.,I can access my course using the application.,Yes i can access my account using the available computers,Yes I have no issues on using my account on wired computer,Yes i can sometimes get help when I encounter a problem with my canvas.,Yes may canvas account is accessible outside the JRU.,Yes the lesson on the canvas is in my learning course.,Some professor doesn't organize our module well. ,Yes I can easily navigate the course through the desktop version,Yes I can navigate the course on my mobile application.,Yes it is relation to the face to face lesson in the class.,Yes i can understand the lesson better because it is uploaded in advance,Yes it makes me interest because I can easily access all our lesson through the use of canvas.,Yes it helped me prepare for all of this things.,Yes my instructor know how to use the canvas very well.,Yes they mastered the subject matter.,Yes they encourage me to use canvas because all of our activity is uploaded in the canvas.,Canvas is a good application when it comes to discussing about the subject matter.,yes i can answer the things to do that is uploaded in the canvas.,yes it is all aligned with our lesson in the subject.,Yes the task is uploaded in advance so we can have enough time to finish all our task.
I can access my Canvas account without any problem.,I can't access my course using the mobile canvas app during the first and second week of the semester. ,"Yes, i can access my Canvas account using any available computers in JRU without any problem. ","Yes, I have no issues accessing my Canvas account using wired internet connection in any laboratories inside JRU. ","I disagree, because it's not easy to get help with my Canvas account. It takes weeks to get notice on your complain about your account. ","Strongly Agree, Because i can access my Canvas account outside JRU without any problem.","Yes, i clearly understand the lessons on my canvas modules.","Strongly agree, because the modules in the canvas app are well organized.","Yes, it is easy to navigate the courses with a desktop.",Agree because sometimes i still get confused using the canvas mobile version.,"Yes, the course materials on canvas have connections inside the classroom discussions.","I agree, because some lessons helps me better with the help of canvas.",Strongly agree. Some lessons makes me interested with the help of canvas.,The course materials on canvas does help me a lot to prepare for any classroom activities.,Disagree. Because i have encounter two instructor who doesn't know how to use canvas.,I agree. My instructor demonstrate mastery of the subject that they teaches. ,Yes every instructor encourages us to use canvas.,Canvas helps us to communicate with my instructor and classmate because it's all organized in one website.,Because of the organized announcements i can answer any quiz or exam posted in canvas.,"Most of the modules in canvas have connections with our quizzes, major exams, and assignments.","Yes, i have been given enough time because some teachers still accepts late activities."
Some of the computer is slow to respond.,Yes its so fast to access my course using mobile app canvas.,Yes but some of the computers is so slow to respond.,some area has a slow internet connection.,Yes  i can easly get help when i have problems with my canvas.,There is no problem when im using my canvas account outside .,I have no problem with that.,I have no problem with that.,Some of the forum in our courses does not appear in dashboard.,Some of the forum in our courses it will not appear in dashboard.,Yes it is very helpfull,Yes it is very helpfull. ,it really helps.,It really helps me .,Yes,Yes,Yes super!,yes,Some of quiz and forums will not notify you .,Its so helpful.,No.
Sometimes it's hard to log-in and log-out my canvas account inside the campus because of the internet connection.,It's easy to access my course using canvas app because I always bring my phone.,The computers are well maintained. So I don't have a problem on logging my canvas account.,"Yes, I don't have any issues accessing my canvas account using wired internet connection.",If my account has a problem I can easily ask for help with my canvas account in the IT office,I can access my canvas account outside the campus because canvas has a mobile version app,"Yes, because the modules are organized and prepared.","Yes, I recognize the modules in my course are well organized.",I can easily navigate the modules through desktop version and mobile app,I can easily navigate the modules through desktop version and mobile app,.,"Yes, it really helps me with my course.",.,The course materials helps me alot.,"Yes, my instructor knows how to canvas",.,My instructors always reminding us to check canvas everyday,.,.,"Yes, because its well organized","Yes, because its well organized"
Yes we can access on time and easily.,"I can access any where using my phone.
",yes we can access my canvas account to Lab room. ,sometimes i cant access because the wi-fi is weak.,yes i can easily get help from H211,yes i can easily access when i have a wifi ,angree cause sometimes i dont understand and so that i go to google to search.,yes it is organized because the canvas have per week module no.,I dont easily access it .,Yes because i have my phone and i know it.,because some prof didnt explain to us what the lesson is so that i cant understand.,sometimes but most of the time i cant understand.,angree cause i dont want to read.,yes sometimes but most of the time i help my self.,some of my teacher they dont know how to use it.,,not really.,because we cannot do a disscussion or colaboration we us our fb account.,,,
"Yes, I can easily log in in canvas always if i'm in the laboratory","Yes, Because always visit my canvas and canvas easily log in because of the google accout",yes if the internet is very fast.,sometimes only if i have to answer activity.,yes. because my professor know about the canvas.,sometimes because in other computers needs to verification account,Because they didn't teach us about modules.,always because the modules are organized,as always because sometimes i open my canvas in desktop,its hard to manage because its complicated,for me yes because our prof always use the modules and projectors for teaching,because sometimes I open the canvas and read some modules,because its high tech for our generation,sometimes because i open my canvas at times,yes because they teach us how to use that,sometimes becasue sometimes our prof is absent,because we have no choice,in some subjects only,yes always because our prof always remind us,yes because in the home page you can see your activity,because the time is short
i can easily log in my account ,there differences in web and app. i my choice web than app,theres some pc in the jru that poor to log in ,in the other pc or old pc theres poor internet connection,i never go in the IT for help but when theres a problem they will help.,just using web. i rather use web the the app,"sometimes no, because they should give some example because some studnet iscan easily undestand if they have example",yah yah yah,yes uyesh, i never tried it ,yes,yes yes,yes,yes coz it can take outside and it can help others wroker student,yeh,yah,yah,yahh it more can help by announcing what to do,yes,yes,sometimes no
I don't have any hassle to log in and log out in canvas account. ,I can easily access in the mobile canvas app and it is good to use it.,Every time i log in I can access easily to the computers in JRU,There are times that the internet connection in the laboratories is poor,I can access my account easily and there's is no problem because of the help of someone,If I have the Internet connection I can access my account outside of the campus,I Can understand the module in canvas because all the files needed is there,"well, all the module in canvas is well recognize",I can easily access my canvas,"If I have an Internet Connection, I can easily manage the navigationj course",For me I don't agree because it is good to study to your own than face to face ,Yes much better with the help of course materials in canvasm It will understand clearly,Yes because there is a lot of course materials needed in our course ,It will help me in the course and it is good to have that kind of materials,My instructor know how use the canvas properly,It demonstrate clearly and properly,Yes it encourage me to use the canvas for my course,It help a lot for me,I can easily access my canvas,It helps me a lot ,It helps me a lot and it is better 
Computers are working properly.,I can easily access my course/account in mobile app,All available computers in jru are accessible in accessing each account of the student,Sometimes internet are slow and it takes more than a minute to log in especially during examination.,Student Assistant will help me immediately whenever I have question or I have problem in my account ,I can access my account outside jru using the canvas app.,There are some information in canvas that I needed some futher explanation and clear message about the lessons.,Each lessons are organized by the week/s we are going to tackled it in the class,It is more easy to navigate the courses using the desktop.,Sometimes there are things that I wasn't able to see in the mobile app than desktop,Whatever lesson we've read in the canvas will have connection to what we are tackling during the face-to-face discussion,I can read all the lesson anytime because of the app,I was interested to know all the things about the canvas on how to use it properly and navigate it.,It is helpful especially during reciatation because the lesson we are tackling is also connected to the lesson in canvas ,My instructor always prepare something in the canvas,I wasn't able to understand my instructor sometimes ,"I've a lot to do in canvas in this course that's why my instruction is always remainding us to check our canvas and do the activities,quizzes.","Using canvas I can message my instruction whenver I have question, also to communicate to my classmate especially if we have groupings",Each quiz is giving us a certain time to answer it.,"Some of the question in quiz,exam are related",We are given a certain amount of time to finish our activities in canvas.
I can easily log-in and log-out because of this PC especially at home is canvas is alright to use.,Because I have an Canvas App so that I can use it everywhere.,"Yes, I can access my canvas because every computer in JRU I can access my account.",Sometimes I can not access my account because sometimes in JRU the internet connection is very slow even in laboratory.,"Yes, If I have a problem in my Canvas I go to IT department to access my account.","Yes, I can access my Canvas everywhere especially at home atleast there's an internet connection.",Sometimes I can access my Canvas so sometimes I can understand the lessons of my courses ,It very organize because if you log-in you can see the modules.,It's every easy to manage navigation in the desktop than mobile,I don't like the Canvas in mobile because desktop is better than mobile.,"Yes, there's have an connection with face to face.",Sometimes I can not log-in so i didn't understand the lesson very well.,"Yes, Canvas makes interested.","Because, there's an module that you can reviews.","Yes, because my professor is IT teacher so she know how to use Canvas.",My Instructor demonstrate the subject very well. ,"Yes, my Instructor encourages us to use Canvas because, It's help us to understand the lesson very well.",My Instructor sent us announcement if there's an emergency so that we inform faster.,"Yes, we can answer the assessment materials.","Yes, because it show assessment material if there's have a quizzes",Sometimes because there's time limit in other.
"Yes,I can easily logi-in and log-out my account in canvas",I have my own Canvas Application and It's easy to access. ,"Yes, I can access my Canvas account if the computers of JRU has a strong Internet.",it's easy to access the Canvas Application if the wired internet connection is fast.,"Yes, By Searching about the problem.","Yes,If you have an account just download the Application or Search it in the website.","Yes,When the admin/Professor upload the modules i can download it.","Agree, Sometimes because our other professors upload a module which is not gonna discuss in our room.",Same as in my mobile phone.,"Yes, because it's handy and easy to pick up.",Sometimes the professors has their own Power Point that is not connected in the PPt in,"Sometimes, because the other professors do not discuss the lessons in the canvas.",Yes,"Yes, all the answers in the activities ,quizzes and exam is in the miodules.","Agree,Our Seniors don't know how to use canvas","Yes, they explain it very well",When we have to do some stuff,"Yes, Because in today's generation it's easy to communicate using social media.","Yes,when our professor give the passcode",yes,"Yes,one week or sometimes an hour"
"Yes, I can easily log-in and log-out through my Canvas account. No problems really.","Yes I can access the canvas app. But I still prefer using a browser to open my canvas account, for faster performance.","There are plenty of available computers at the open lab however, my only concern is the performance of the computer.",Nothing really. The only problem is the performance of the computer in the open lab.,I agree.,Yes I can access my canvas account regardless of the location. No concerns.,"Yes since, the use of powerpoints, pdf's, or other files, stimulated my interest in learning the lessons.","I find the modules are well organized since, dates are specified and the modules have numbers indicating their topics.",Yes I can easily manage.,"Not really, due to smaller screen.","Yes, since JRU offers blended learning.","Yes, because the modules are well organized.","Yes, the canvas course materials stimulated my interest in learning.","Yes, although other questions in the quiz or exam are not included in the modules given by the instructor.","Yes, because whenever we have a face to face discussion our instructor can easily access the module.","Yes, because our instructor can clearly explain the topics related to the module being discussed ",Not really. ,Yes. Whenever we have forum discussions.,Yes.,"As I said before, some questions in the quiz or exam are not in the module.","Yes, since our instructor gives tasks prior to the deadline."
I can easily log-in and log-out my account in Canvas because it is fast loading,"I strongly agree to this because i can access my account, dicussions, etc.",I can access my account in canvas especially in Open Lab,I have no issues accessing my canvas account.,I can easily get help when i have problems with my Canvas account because I easily go to the IT office to fix my account.,I can access my canvas account outside JRU using my mobile phone.,"Most of the times, i can clearly understands the lessons on my canvas modules.","Yes, well organized the  modules in my course.",I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app..,It's connection with face to face to the course mateials,It is helpful to understand the lessons with the course materials.ith t,It makes me interested because it is helpful of the course materials to my course.,"Yes, it is helpful to my course because all the course materials that i can take is my reviewer, and i can improve my past requirements to the incoming tasks.","Yes, because they prepared and learned the usage of canvas before they face to the students.",Other instructor are not demonstrated mastery of the subject matter,because using canvas can encourages myself because all of my works or tasks are graded and get high scores.,My instructor made it easy for me to coomunicate,i can answer all the assessment materials , find the course materials on Canvas aligned,"yes, because they posted the activities and the due date"
I cannot easily log-in and log-out my Canvas account.,I cannot access my course using the mobile Canvas app.,I cannot access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version,I can easily manage the navigation of the courses through the mobile app. ,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc.",My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter. ,My instructor encourages me to use Canvas.,"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I cannot answer the assessment materials (quiz, exam) posted in Canvas.","No, because some items in quizzes and major exams are not discussed or written in the module.","No, because there are activities that are not easy to do."
The computer's internet connection is alright,"The account redirection is fast. So, far no problem accessing it.",The computer's performance is really ok for accessing my JRU Canvas,The connection in the laboratory is very stable,The IT office are approachable anytime,"No problem accessing my account inside and outside of JRU, it is very stable","Once the app downloads one module (e.g pptx, docx, pdf) after downloading it is not accessible via local storage although it shows the download was finished",Some professors doesn't organize their modules,"There is no problem accessing it, so far","There is functions on the desktop that is not on the mobile app, which makes it indifferent for mobile users ",It is related through face-to-face lessons and Blended learning,"Sometimes, the lessons are far to the modules","Sometimes, I make mistakes. Clearly the course I took is not my passion",Some quizzes and exams doesn't show on our modules,My professor really know how,Sometimes we aren't prepared for the projects that are tasked to us. So we have to handle it on our own.,Because our modules is in canvas,"Sometimes, my professor doesn't even know me",I can't access through mobile sometimes,"Sometimes, it is not.","Some do take a while to finish, some are not. So, it does not give me time"
I can easily access my account.,I have installed it for the notification what we will do for the entire week.,I can access easily using JRU computers.,I can access my account in computer laboratories.,I can easily go to the H211 if i have problems on canvas or my account.,I can access my canvas easily where ever i go just have a data connection on my mobile device.,I can also ask my classmates if didn't understand it ,It is organized because of the weeks in the canvas,I can easily access in any version of my desktop,In mobile app some of my quiz is not accessible on it,We must read the lesson in advance because the next meeting my Prof will ask a question or any clarification,I can retrieve my lessons in I forgot some keywords on it ,It is very interested because you can access it anywhere ,Easily to have quiz if they are suspension ,We can message our instructor because of the canvas if they are online,Mastery of the subject is important,All of my instructor use canvas ,We can easily message our instructor and group mates and if they have announcement,I can easily access my quiz but if their is a code we will not access it,Easily to have quiz exam and other and easily to record ,"Yes, because it reminds me in my mobile phone"
I can easily access my account on canvas.,I can access the course on mobile application easily.,It is easy to access my Canvas account using the computers here in JRU.,I can access my account using wired internet connection easily.,The office provide the needs to help with my Canvas account.,I can easily access my Canvas account outside JRU.,The Canvas provides conducive environment for learning the modules. I can clearly understand my lessons.,The modules in courses enable me to advance study.,The navigation is easy on Canvas desktop version,Navigation on mobile app and desktop have the same navigation experience.,Online learning combined with face-to-face makes the learning better.,It helps us simulate certain situations to deal with.,The course materials make the modules more intersting,It helps me to clearly understand the modules,"When instructor knows how to use Canvas, they can adjust some materials to match the needs of the class.",Mastery of the subject is important in teaching.,Instructors should utilize the Canvas to its extent.,Sending mails through Canvas makes it more easy to communicate.,I can answer the assessments on the time will be available.,This should be align to test our understanding of the modules.,We are given a week or two to finish the activities.
I haven't encountered any difficulty logging into my Canvas account so far.,I do not see any problem accessing my course module using the mobile Canvas application.,I haven't encountered any difficulty logging into my account using the available computers in JRU so far.,There are circumstances that connecting to the wired internet connection is troublesome.,H211 is open when a student is facing problem with their Canvas account.,I do not encounter any difficulty accessing my Canvas account outside JRU.,"Visual presentations when studying is effective for me, so I agree.",I can easily navigate the module when I am looking for a specific lesson or lecture material.,The desktop version of the Canvas app is well-designed.,I haven't encountered any difficulty navigating the courses through its mobile app.,Discussions are related to what is uploaded inside the course module.,"As I stated above, visual presentations are effective when studying.",They are informative enough.,The course materials provide information enough for us to prepare for them.,They can easily adjust its content.,She show mastery of the subject based on what she discusses during lecture.,She reminds us every lecture.,Answering forums is an example of sharing ideas on group discussions.,I haven't encountered any difficulty answering assessment materials.,The content provided by the course materials is aligned with the exercises above.,The amount of time given to us to accomplish activities are justifiable.
The website or canvas is very okay it's not logging,It's very convenient to me ,There's a many available computers for the students and it's very convenient ,I have no issues until it does not became a problem to me.,"Well, sometimes it's not easily to get help especially when you take quizzes and the code that they gave you is wrong. ",It's very convenient to me because even when I'm not in JRU I can still use canvas.,I can understand but somehow instructors need to have a brief lessons about the modules in canvas,It's okay to me especially the color coding,yes,yes,It should be. ,I disagree but agree sometimes,yes,Yes but sometimes when they forgot to published the modules so I don't have a reviewer to me,They know how to use canvas but some instructor that they don't know how to use canvas.,Yes,They said It's important ,yes,yes it help by the modules,yes,yes they gave us 1 week or more to submit the activities
I Strongly Agree because there was no problem that I encountered in log-in and log-out of my account.,Strongly Agree because I can easily access my course view using the mobile app.,I Strongly Agree because I have no problems to access my canvas account in any available computers here.,I Strongly Agree because I have no issues to access my canvas account using wired connections in any available computers here.,For me its Agree because not all the time I can get help to the developers.,"for me its Agree only because in my connection at home sometimes, my canvas account is inaccessible outside.",I Agree because not all the time the lessons in canvas is not taught in face to face.,I agree because some subjects is not proper organized in the modules.,I Strongly Agree for that its because the UI is user friendly,I Strongly Agree for that its because the UI is user friendly,I  Agree because not all the time.,I  Agree because not all the time that take in face to face.,For me its Agree because some part is uninterested,There are some Strongly Agree and agree because some subjects is not that accurate when using the canvas.,For me its Strongly Agree because my professors is a Information Technology professors that's why they need to know how to use it properly.,For me it's Strongly Agree because it's required to master there subject matter.,For me its Strongly Agree because its a requirement.,Some of there answers is Disagree because the other professors is snob in answering questions. ,Yes I Strongly Agree for that and I have no problems.,For me I have no problem for that.,I have no problems for that
"Yes, logging in and out of my account can be operated quickly","Yes, but can't access activities or modules without internet connection.","Yes, but sometimes there are no laboratories vacant to use during exam week.","No, there are times that the internet connection in the open lab is very slow when other students use Facebook, YouTube, etc.","No, because there are times that we cannot comply to our professor whenever there are technical difficulties in my canvas activities.","Yes, if there is mobile data available to use and access","No, because there are modules that aren't applicable to the quizzes in our subjects",There are modules that are covered from other terms.,"The desktop version is easy to navigate, including the activities using list view.","Yes, but upcoming activities should have a list view similar to the desktop version",There are some professors that are using different module which aren't related to the topic from Canvas,It depends if the modules in Canvas are used by the professors during lecture time.,"Yes, but sometimes they are useless if the professors use other modules outside Canvas.","No, because there are some terms that aren't in the quizzes and exams. ","Yes, they make use of the Canvas app properly",Yes,"Yes, because it is required for 50% of our grades.","No, nobody replies to our messages and sometimes messaging at Canvas are blocked",There are times that the activities are not visible to the dashboard,No,Deadlines are too short from other subjects
I can access my account easily whenver I'm having a internet connection.,I strongly agree to this question because you can access on canvas in your search engine in your mobile phone. Nevertheless canvas is having application that you can download on your mobile phone.,I strongly agree because JRU is having an internet access anywhere on the campus except the gym.,because sometimes canvas is having an update so that I have trouble in accessing my canvas.,Strongly agree because if i have canvas problem I can visit the IT office to report the problem.,Strongly agree because we have a homework and take home quiz sometimes. And we can open our canvas at home just connect to the internet.,because the modules inside the canvas is like a tutorial so that we can nor I can easily understand the lesson in every module but sometimes i got lazy and I'm not visiting the canvas.,I strongly agree but sometimes other course in the canvas do not post modules and sometimes their modules is not well organized.,"Yes, because JRU is having an internet access everywhere.","Yes, because JRU is having an internet access everywhere.","Yes, because if its not connected then our  lecture days are so conflict with our online module.",I strongly agree because.,because we are in modern world and online learning is more interested than the manual like before.,because I cna review what is my prof discuss during lecture days and review the online module at home.,She knows very well how to use canvas because in our lecture days she even not bring laptop to view our modules.,Yes because she master the java language and I'm so amazed by her knowledge.,becuase she has an announcment and online quiz and lab exercises,because we can email easily our proof in canvas and recieve class announcment immediately and we're ahving a forum to discuss our thoughts about the lessons,because we can email easily our proof in canvas and recieve class announcment immediately and we're ahving a forum to discuss our thoughts about the lessons,because we can email easily our proof in canvas and recieve class announcment immediately and we're ahving a forum to discuss our thoughts about the lessons,because we can email easily our proof in canvas and recieve class announcment immediately and we're ahving a forum to discuss our thoughts about the lessons
Strongly agree because the steps in logging-in and logging out were given to us since we entered JRU.,Strongly agree because the mobile application is user friendly and it is easy to use,Strongly agree because there are lots of computers available in JRU which we can always use to access our canvas account.,Sometimes the internet connection is slow,Strongly agree because we can always ask help at the IT support office,Strongly agree because it is available anywhere and anytime as long as you have internet connection or mobile data,"Strongly agree, because the lessons were outlined the way we can understand it.",Sometimes it's not organized well,Strongly agree because the interface of the desktop version is easy to use.,Strongly agree because the interface of the mobile app is easy to use.,The lessons we have are being discussed promptly by our professor in a way that we understand it.,Because the lessons being discussed is in the course materials.,Because the course materials are easy to understand,"The discussions, quizzes, exams are in the course materials. Sometimes the forums and assignments are not quite related.","Because there are notifications about our assignments, forums, quizzes, etc.",She explains the subject matter in a way we understand it,"Our instructor promptly encourage us to answer our assignments, forums, etc.","We don't usually use canvas as our way of communication, we receive every notification and we don't usually use it to share ideas",Yes because it notifies us and it has deadlines,the exams are aligned with the course materials but sometimes the assignments and forums are not,The activities are open for a week and it is enough for us to do it
"yes, i can log out my account when ever i want to ",the application for the mobile canvas is too hard to use  and too many bugs,too slow for the internet to access the JRU canvas,even if i have wired the internet connection is too slow to access the canvas ,i can ask if there is a professor around but when i was at home i cant get help to any problems that i encounter  ,the verification account always popping whenever i access my jru canvas account outside the campus,sometimes i can understand but when there is someting that i dont know i need to search it on the internet for reference,"yes, it was recognized and easily to understand where does the module i've been looking",destop was easy to use compare to the mobile application,yes accessing some of the modules but too many bugs,yes it has a connection but some of the topic that was been lessoned are not in the module,some of it are not in the canvas it needs to search for the answer,nope it makes me lazy to do the task,"when i quiz, test, and do the other task some of it cant be found on the course materials",when my proff is too old sometimes they seems to ask the student to do the task,yes because they know how to teach them,yes because they use the canvas to give the task ,only to reveive announcements and share ideas on the group,yes because it needs to be answered ,too much hard to identify who is next on the task that was given ,no time to spend for the given time
I can easily log-in and log-out my canvas account using cellphone and computer to open my canvas account.,I can access my course using the mobile canvas app so that I can easily open my canvas account.,"I can access my Canvas account using the available computers in JRU, so that I can pass my activities, assignments, forum and quiz.",I have no issues accessing my canvas account using the wired internet connection in the computer laboratories. because the internet connection is fast.,I can easily get help when I have problems with my Canvas account. They can easily to solve my problem when i have problems with my canvas account,"I can access my Canvas account outside JRU. So that I can pass my activities, assignments, forums and quizzes.",I can clearly understand the lessons on my Canvas modules. When I need to read my earlier lecture so that I understand clearly my lecture.,I recognize that the modules in my course are well organized. because I can easily to understand my modules in my course.,I can easily manage the navigation of the courses through the desktop version. because we can easily to use canvas.,I can easily manage the navigation of the courses through the mobile app. because we can easily to use canvas.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. So that we can easily to understand the lesson and it is less-consuming time.,"I understand the lessons better with the help of course materials in Canvas. So that, I will understand more my lessons with that thing.",Canvas course materials make me interested. Because we can have more to learn about that course.,"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. Yes, it helped me to prepare so that I can easily to answer all of those things.","Yes, because they also the one who teaches us how to use canvas.","Yes,My instructor demonstrated mastery of the subject matter, so that we can easily to understand his/her lesson.","Yes, My instructor encourages me to use Canvas. To read and answer his/her lesson",Yes because I can talk to them about my canvas.,"Yes, i can answer the assestment materials so that i can pass my grade to this matter.",because I can easily to find my need to check and answer.,"Yes, i have been give enough time to accomplishthe activities on Canvas so that I can pass my grade to any subject."
yes easy to logout and log in ,Canvas features as possible,yes,Canvas features as possible because to slow the internet,the IT support is to slow and to many saying about the problem to solve the issues,"Yes, because it`s online", Yes because I understand everything in modules, Yes because I understand the  module about the Courses,yes because is user Friendly,yes because is user Friendly,sometimes he does not provide information to users,sometimes he does not provide information to users, Learn how to enhance design is colorless,"No, he has not been able to assist since and although he is unable to obtain information",the canvas  is User Friendly,"
Yes because all the quizzes and forums are there to answer correctly", Yes because all the quizzes and forums are there to answer correctly,"No, he has not been able to assist since and although he is unable to obtain information","No, he has not been able to assist since and although he is unable to obtain information","No, he has not been able to assist since and although he is unable to obtain information", able to assist or give the message to do the activities on canvas
Fast process.,Sometimes i cannot access.,Yes. i can access faster.,No issues.,yes i can easily get help.,Sometimes i can't access the app because the application depends on the internet sometimes.,Yes. i can clearly understand.,Yes. i can clearly recognize.,Yes. I can easily manage.,Yes i can easily manage.,Yes. I agree.,Yes. I can clearly understand.,Yes. it makes the app more interesting,Yes. I agree,Yes.,Yes very clearly.,Yes my instructor encourages me.,Yes. It helps me a lot to easily access our topics and discussions.,Yes. I can answer easily.,Yes.,Yes it gives me more time to finish a certain task.
The Login and Logout process is very easy,"I didn't download the mobile app, I use the canvas using my laptop/pc","I can access my canvas account using the available computers, though i wish the internet speed be upgraded","The internet connection is fine, though i wish the internet speed be upgraded",The IT Department are very helpful,The canvas that can be accessed outside JRU makes it convenient for students like me who live in areas outside mandaluyong,The canvas modules holds informative and reliable information,The modules in the canvas are very well organize as it displays by the time it was publishedd,The course tab has large icons/text that make it more visible ,The navigation in the mobile app is slightly difficult because the screen of the phone is small,This Lessons are very entertaining,Course Materials provided by the canvas is very informative,The course modules contains very interesting,The canvas has a calendar that helps me prepare and study for upcoming activities,My Instructor knows how to use the canvas properly,My instructor knows the subject very well,My Instructor encourages us to use the canvas to learn,The Canvas is a very reliable source of information specially announcements,The lessons learned in the modules will  be shown in the canvas quizzes/activities,The course materials in canvas are aligned with exams,The canvas activities give me enough time to do our activities
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
